1.32.128.0,1.32.255.255
1.36.0.0,1.36.255.255
1.64.0.0,1.65.255.255
5.132.101.0,5.132.101.255
5.153.43.208,5.153.43.215
5.225.101.0,5.225.101.255
14.0.128.0,14.0.255.255
14.1.20.0,14.1.23.255
14.102.240.0,14.102.255.255
14.136.0.0,14.136.255.255
14.198.0.0,14.199.255.255
23.19.35.192,23.19.35.207
23.19.84.128,23.19.84.255
23.19.133.128,23.19.133.255
23.19.198.128,23.19.198.255
23.105.130.64,23.105.130.87
23.227.92.128,23.227.92.135
27.50.32.0,27.50.39.255
27.98.192.0,27.98.207.255
27.100.16.0,27.100.23.255
27.110.64.0,27.110.79.255
27.111.160.128,27.111.161.127
27.111.162.0,27.111.166.127
27.111.167.0,27.111.207.255
27.122.12.0,27.122.15.255
27.123.32.0,27.123.35.255
27.123.40.0,27.123.47.255
27.123.192.0,27.123.193.255
27.123.208.0,27.123.211.255
27.126.176.0,27.126.203.255
27.126.220.0,27.126.231.255
27.126.235.0,27.126.235.255
27.126.237.0,27.126.255.255
36.37.32.0,36.37.35.255
37.58.64.144,37.58.64.151
37.58.66.248,37.58.66.255
37.58.67.8,37.58.67.15
37.58.67.144,37.58.67.151
37.58.70.56,37.58.70.63
37.223.101.0,37.223.101.255
37.252.212.0,37.252.212.255
38.88.164.104,38.88.164.111
38.107.170.0,38.107.170.255
38.108.126.0,38.108.126.127
38.122.70.36,38.122.70.39
39.96.0.0,39.111.255.255
42.2.0.0,42.3.255.255
42.98.0.0,42.98.255.255
42.99.128.0,42.99.128.71
42.99.128.80,42.99.130.31
42.99.130.48,42.99.131.255
42.99.138.0,42.99.138.255
42.99.139.160,42.99.139.175
42.200.0.0,42.200.255.255
46.17.103.64,46.17.103.70
46.29.111.0,46.29.111.255
46.136.0.0,46.136.0.255
46.136.236.0,46.136.237.255
46.248.20.0,46.248.21.255
49.130.0.0,49.131.255.255
49.143.232.0,49.143.234.255
49.213.0.0,49.213.15.255
50.2.9.0,50.2.9.95
50.7.10.232,50.7.10.239
50.7.15.120,50.7.15.127
50.7.20.64,50.7.20.71
50.7.52.24,50.7.52.31
50.7.52.96,50.7.52.103
50.7.69.152,50.7.69.159
50.7.75.112,50.7.75.119
50.7.78.80,50.7.78.87
50.7.95.96,50.7.95.103
50.7.106.248,50.7.106.255
50.7.115.72,50.7.115.79
50.7.118.8,50.7.118.15
50.7.118.88,50.7.118.95
50.7.118.248,50.7.118.255
50.7.137.72,50.7.137.79
50.7.140.8,50.7.140.15
50.7.150.8,50.7.150.15
50.7.150.56,50.7.150.63
50.7.184.216,50.7.184.223
50.7.198.8,50.7.198.15
50.7.198.168,50.7.198.175
50.7.202.208,50.7.202.215
50.7.204.208,50.7.204.215
50.7.212.232,50.7.212.239
50.7.217.176,50.7.217.183
50.7.218.168,50.7.218.175
50.7.235.160,50.7.235.167
50.7.244.216,50.7.244.223
50.22.9.212,50.22.9.215
50.22.26.40,50.22.26.43
50.22.133.16,50.22.133.31
50.22.165.0,50.22.165.7
