1.34.0.0,1.35.255.255
1.160.0.0,1.175.255.255
1.200.0.0,1.200.255.255
5.224.232.0,5.224.232.255
5.225.232.0,5.225.232.255
23.29.110.0,23.29.110.127
23.247.25.128,23.247.25.191
27.51.0.0,27.53.255.255
27.96.224.0,27.96.255.255
27.100.64.0,27.100.127.255
27.105.0.0,27.105.255.255
27.123.198.0,27.123.207.255
27.147.0.0,27.147.63.255
27.240.0.0,27.247.255.255
36.224.0.0,36.239.255.255
37.58.71.64,37.58.71.71
37.222.232.0,37.222.232.255
37.252.243.0,37.252.243.255
39.1.0.0,39.1.255.255
39.8.0.0,39.15.255.255
42.0.64.0,42.0.127.255
42.64.0.0,42.79.255.255
49.128.64.0,49.128.95.255
49.128.112.0,49.128.127.255
49.158.0.0,49.159.255.255
49.213.128.0,49.219.255.255
50.3.100.56,50.3.100.63
50.7.10.136,50.7.10.143
50.7.22.72,50.7.22.79
50.7.25.152,50.7.25.159
50.7.54.232,50.7.54.239
50.7.104.32,50.7.104.39
50.7.111.208,50.7.111.215
50.7.115.64,50.7.115.71
50.7.117.224,50.7.117.231
50.7.144.192,50.7.144.199
50.7.157.72,50.7.157.79
50.7.195.104,50.7.195.111
50.23.158.32,50.23.158.63
58.86.0.0,58.86.255.255
58.99.0.0,58.99.127.255
58.114.0.0,58.115.255.255
58.210.242.120,58.210.242.127
59.102.128.0,59.102.255.255
59.104.0.0,59.105.255.255
59.112.0.0,59.120.84.223
59.120.85.0,59.120.88.111
59.120.88.128,59.120.96.79
59.120.96.96,59.120.98.15
59.120.98.32,59.120.131.255
59.120.132.16,59.120.217.47
59.120.217.64,59.120.234.95
59.120.234.128,59.124.51.175
59.124.51.192,59.124.51.207
59.124.51.224,59.124.179.207
59.124.179.224,59.124.236.239
59.124.237.0,59.125.90.111
59.125.90.128,59.125.104.239
59.125.105.0,59.125.163.95
59.125.163.128,59.127.255.255
60.198.0.0,60.199.255.255
60.213.189.88,60.213.189.95
60.244.0.0,60.245.127.255
60.248.0.0,60.248.9.159
60.248.9.176,60.248.36.79
60.248.36.96,60.248.36.191
60.248.36.224,60.248.68.255
60.248.69.16,60.248.77.191
