1.0.16.0,1.0.31.255
1.0.64.0,1.0.127.255
1.1.64.0,1.1.127.255
1.5.0.0,1.5.255.255
1.21.0.0,1.21.255.255
1.33.0.0,1.33.255.255
1.66.0.0,1.67.255.255
1.72.0.0,1.79.255.255
1.112.0.0,1.115.255.255
5.11.82.0,5.11.82.255
5.132.120.0,5.132.120.255
5.153.13.128,5.153.13.135
14.0.8.0,14.0.11.255
14.1.4.0,14.1.15.255
14.1.24.0,14.1.29.255
14.3.0.0,14.3.255.255
14.8.0.0,14.15.255.255
14.101.0.0,14.101.255.255
14.102.132.0,14.102.135.255
14.102.192.0,14.102.223.255
14.128.0.0,14.128.3.255
14.128.16.0,14.128.31.255
14.128.64.0,14.128.127.255
14.132.0.0,14.133.255.255
14.137.224.0,14.137.255.255
14.192.32.0,14.192.59.255
14.192.96.0,14.192.127.255
14.193.0.0,14.193.255.255
23.236.114.0,23.236.114.63
23.236.114.96,23.236.114.191
23.236.114.208,23.236.115.127
23.236.115.144,23.236.115.159
23.236.115.192,23.236.115.255
27.0.0.0,27.0.3.255
27.0.16.0,27.0.47.255
27.34.128.0,27.34.175.255
27.34.192.0,27.34.223.255
27.50.12.0,27.50.15.255
27.50.96.0,27.50.127.255
27.54.96.0,27.54.115.255
27.54.124.0,27.54.127.255
27.80.0.0,27.96.23.255
27.96.32.0,27.96.63.255
27.96.68.0,27.96.83.255
27.98.0.0,27.98.191.255
27.100.8.0,27.100.11.255
27.100.28.0,27.100.35.255
27.100.48.0,27.100.63.255
27.106.208.0,27.106.215.255
27.106.224.0,27.106.255.255
27.109.96.0,27.109.103.255
27.109.120.0,27.109.123.255
27.110.0.0,27.110.63.255
27.110.96.0,27.110.119.255
27.111.76.0,27.111.79.255
27.111.160.0,27.111.160.127
27.111.161.128,27.111.161.255
27.111.166.128,27.111.166.255
27.111.208.0,27.111.209.255
27.112.104.0,27.112.111.255
27.112.124.0,27.112.127.255
27.113.192.0,27.113.239.255
27.113.248.0,27.113.251.255
27.114.0.0,27.114.127.255
27.116.0.0,27.116.15.255
27.116.24.0,27.116.31.255
27.116.34.0,27.116.35.255
27.116.40.0,27.116.43.255
27.118.0.0,27.118.15.255
27.120.64.0,27.121.63.255
27.121.92.0,27.121.95.255
27.121.128.0,27.121.255.255
27.122.4.0,27.122.11.255
27.122.32.0,27.122.55.255
27.122.64.0,27.122.111.255
27.123.8.0,27.123.15.255
27.125.204.0,27.125.207.255
27.126.64.0,27.126.143.255
27.126.160.0,27.126.175.255
